id,text,political,racial/ethnic,religious,gender/sexual,other,text_en
hin_6c1db40e3c06c6be4c66c5d2f9e7dd2d,#गांधी खानदान भारत हिंदुत्व विरोधी,1,0,1,0,1,#GBggigigigigi family India Nationalist
hin_c10a10c97cd1f6016f379dc1e7a70c48,"देश, धर्म और हिंदुत्व नही।🤔",1,0,1,0,1,"No nation, religion and politics."
hin_d40c1fae07d9f54d4507e3fa383fb82e,हिंदुत्व नहीं. सनातन धर्म 🙏,1,0,1,0,1,No Hinduism. Eternal Religion · Global Voices
hin_ac7b201fbc814a2e62f799b569d4c0c5,कहाँ गया आपका हिंदुत्व?,1,0,1,0,0,Where'd your gravity go?
hin_b4a95a1f7b309789982dc38e588bfc6c,हिंदुत्व की पहचान है सुदर्शन न्यूज़। #सुदर्शन_शौर्य_के_17_वर्ष,0,0,0,0,0,"I mean, what I mean is the direct news. #Syna_Ko-17_year."
hin_ff6a4a39cf6ade278fceccf524bc5460,हे राम रक्षा हिंदुत्व की करो🙏💪🚩🚩,0,0,0,0,0,"Oh Rama, protect me from geneticism."
hin_b25a6efc7a47663895e4f950acac85f7,"जय हो सनातन की, जय हिंदुत्व!",0,0,0,0,0,"Hail the everlasting, thunderous!"
hin_d301f2a858a950dfd93b086efab8e1e7,"हिंदुत्व का अपमान , नही सहेगा हिंदुस्तान 🚩 #BanAdipurush",1,0,1,0,1,"The humiliation of Hinduism, won't it stand? #Banpipe"
hin_9c08fd5a3a48fa6942a64232743baea4,नक़ली हिंदुत्व..😂😂,1,0,1,0,1,Fake genetic.
hin_9c043e59fa0d658000106ada24a6e3b3,हिंदुत्व है तो सभी सुरक्षित हैं ।,1,0,1,0,1,All are safe if there is nationalism.
hin_9f2f4ba645d4a60cbe498371fab60d8e,हिंदुत्व की भावना को ठेस पहुंचाई,1,0,1,0,0,I was so impressed by what I learned from the Bible that I began to attend meetings at the Kingdom Hall of Jehovah's Witnesses.
hin_01556c002b365cb187330956f3b3fdc6,वाह रे हिंदुत्व तेरे कितने रंग,1,0,1,0,0,What are your color?
hin_0762f93a1b9e61ed15b1d7bb2a9f2371,हिंदुत्व विरोधी भाजपा विरोधी न्यूज़ 420,1,0,1,0,1,Burundi-Dadsalogist News 420
hin_05aae29fbe777f1080567ba7148ed902,हिंदुत्व के बारे में नहीं जानते🤣,1,0,1,0,0,I don't know about Hinduism
hin_55ace1d8c6ef3ed39620d0394f361c89,झूठे हिंदुत्व की चटनी चाट रहे है,1,0,1,0,1,They are rolling away the throat of the liars.
hin_403404b122258d24adb3a363b7485fa2,वाल्मीकि समाज सदैव हिंदुत्व समर्थक रहा है।,0,0,0,0,0,The Formic society has been a perpetual advocate.
hin_3c51da758a2fbd2ad2b94d7569ee0bab,कहां हो अब दिखाओ अपना हिंदुत्व,1,0,1,0,0,Show your prejudice now where you are
hin_f2630e52604a855fcde59fb6a20905df,". मैं निष्पक्ष नहीं हूं , मैं हिंदुत्व के पक्ष में हूं, मेरी विचारधारा ,मेरी मातृभूमि हिंदुत्व के लिए है, 🙏🚩जय श्री राम 🙏🚩",1,0,1,0,0,"I'm not fair, I'm on the side of Hinduism, my thinking is, my father's for Hinduism, Mr."
hin_49eb062eca9c413d0b7ac2ae0fb31b75,"हिंदुत्व की रक्षा अभी नहीं ,तो कभी नहीं 🚩🚩",1,0,1,0,0,"The defense of Hinduism is not yet, so never."
hin_0ad78a0bc1f03f6f06a55f79f27ff335,जो हिंदुत्व की बात करेंगे वही चलेगा आब✌️👍🙏👍🙏,1,0,1,0,0,The one who speaks of tribalism is the one who will survive.
hin_9664e039e308bef58b5508d487a9b8b2,हिंदुत्व की सरकार की हालत देखो।,1,0,1,0,1,Look at the state of Burundi's government.
hin_fb118778f62eb856e44ff215a77541e2,तुम्हारा हिंदुत्व कांग्रेस एनसीपी की चाटता है,1,0,1,0,1,Your day-to-law is hit by Congress EncP.
hin_e0a96c1d6b7d3d4e8e3ba0e591cda798,"त्रिपुरा से हिंदुत्व उठा है कर्नाटक तक जा पहुंचा है ""अलख""जगाए रखो कल पूरे देश में""हिंदुत्व""जायेगा""हिंदू"" जागेगा।।",1,0,1,0,0,"The divineu is raised from the lips to the pa·rou·siʹa, and has come to Karnatto, ""Keep your eye on tomorrow"" will come in all the country."
hin_e6e53ab6e41a763e8a126b7d20140318,ये असली ओर नकली हिंदुत्व की लड़ाई है,1,0,1,0,1,It's the real battle of fake Brahmanism.
hin_30975fd2f094adca5eec3cf29f9f2b1b,हिंदुत्व के लिए आवाज उठाने की ताकत ना हो तो हिंदुत्व के लिए आवाज उठाने वाले की ताकत बनो जय श्री राम 🙏,0,0,0,0,0,"If you don't have the strength to get the sound of gravity, be strong to win Mr. Ram )"
hin_6b61d030724023b73015a60374cdfed6,जय श्रीराम 🙏 जय हिंदुत्व 🙏 सनातन सत्य है 💪,0,0,0,0,0,Jayram Sri Lankan Jaya Grenni is the eternal truth
hin_0209aeb422918f9dec6792331b1ac63b,हम हिंदू हैं हिंदुत्व की ही बात करेंगे।,1,0,1,0,0,We're Hindu only going to talk about Hinduism.
hin_d4a8523732bfecb747381eacdc440910,एक सटीक परिचय जय हिन्द हिंदुत्व आवश्यक है।,1,0,1,0,0,A precise introduction is required by Jayd conscience.
hin_a2b132bf7183785d5b4494a403e68342,अब विदेश में भी #हिंदुत्व का जलवा दिखेगा...✊💪💪,0,0,0,0,0,"Now in a foreign country, the flow of the pagoda..."
hin_bc0c36aa39b260ec0fd18e7770dff5dc,यह हिंदुत्व के अपराधियों को हिंसा का लाइसेंस कैसे देता है? हिंदुत्व का गुंडा राज अपने आप में अवैध है।,1,0,1,0,1,How does this license the criminals to violence?
hin_50103332f4aa8d124b6ec04e08d9a9e1,यही फर्क है हिंदू बनाम हिंदुत्व वाद का,1,0,1,0,1,The same is true of Hindu philosophy
hin_5cf3f792945986dfa7ccc1192e5ddbe7,हिंदुत्व को खोखला कर रहा है केजरी_;;वाल,1,0,1,0,1,Depiction is kharsis_;walls;
hin_8b489c9e5a8de8e61c338971a3590034,भेड़िए नहीं हिंदुत्व के ज़हर से दूषित गुंडे।,1,0,1,0,1,Not wolves polluted by the poison of nationalism.
hin_e91389c4996ae96bd7e7b011563149f8,तेरा मेरा रिश्ता क्या ? हिन्द हिन्दू हिंदुत्व |,0,0,0,0,0,What's your relationship with me?
hin_48018bebcc8414577b9318a96983c6f0,"हिंदुत्व बचाना है , तो योगीजी को लाना है 🙏🏻",1,0,1,0,0,"Explosive is saving, so the sum is to bring the sum."
hin_0acb3308c7f9b5244934c27b2a022866,"बीजेपी वाले हमें हिंदुत्व न सिखाएं, नवाज़ शरीफ के घर कौन गया था? हमने बीजेपी को छोड़ा, हिंदुत्व को नहीं - उद्धव ठाकरे।",1,0,1,0,1,"Brupers don't teach us tribality, who went to the home of the vestees? We left the seedp, not gravity."
hin_382425bc85a1351ba4b2d0e844a0e2e6,फिरोज खान का पोता हिन्दुओ को हिंदुत्व सीखा रहा है.!,1,1,1,0,1,Will Khan's grandson is teaching Hinduism to Hinduo!
hin_1501578a0bf426fcde3cc03dce019d48,सत्ता के लिए हमने हिंदुत्व को छोड़ दिया है 😂,1,0,1,0,1,We've left India for power.
hin_7b775735b50c3767968a8d7e8e4ee2ce,भाजपा हो या बंडखोर इनके लिये हिंदुत्व सता है ?,1,0,1,0,1,Is it wrong for them to have a friend or a boyfriend?
hin_7de117a96ad93d0b737bed6c2f75210e,जज भी राजपूत और मुजरिम भी। वाह हिंदुत्व वाह।,1,1,1,0,1,"Judges too, Rajast and criminals."
hin_fd7e6f7c739a588a8319d35e1a073eff,"वो दिन दुर नही जब, संपुर्ण विश्व हिंदुत्व अपनायेगा.",1,0,1,0,0,"It's not a day when, the world will get its own."
hin_521d83b30ac99e1906e33661a95da8f0,"नरम हिंदुत्व पर आइएगा, कहीं के नही रहिएगा",1,0,1,0,1,"Come on soft gravity, you won't stay anywhere"
hin_6fefac690ed91b6c76ed9c07333ff8c5,जय श्री राम जय हिंदुत्व सनातन धर्म की जय हो,0,0,0,0,0,Jay Mr. Ram Jaya Brujourti be victorious for eternal religion
hin_cc4447c49e50686b987325f385aa1023,प्रशांत महासागर हो लाख मर्ज की एकमात्र दवा हिंदुत्व,1,0,1,0,0,The only drug on the Pacific Ocean is the AIDS virus
hin_3c9c2b43ecd37f4891de0941e1efbae9,प्रणाम करता हूं। हिंदुत्व के लिए ऐसा कदम आपने उठाया,0,0,0,0,0,This is what you took.
hin_34e7441eab2c6da9dbfd78314c36ab47,🚩हिंदुत्व मेरी पहचान 🚩जय श्री राम 🚩सनातनी 💯% FB,0,0,0,0,0,My identity of the gravity Mr. Ram eternalFB
hin_9bcd0c7539d7244e7ef810b5abe37e3f,आपको भी बधाई हो 🙏 हिंदुत्व का परचम हर जगह लहराएगा ।,1,0,1,0,0,You're also on the line of gravity.
hin_3f8c044e6a57f8073b6011c388cd3c91,जय श्री राम🙏जय सनातन✊ जय हिंदुत्व जय हिंदू राष्ट्र✊,1,0,1,0,0,"Jay Mr. Ram-J.A., U.S.A., U.S.A. AU.A.R.R. AR.A.R.A.A.A."
hin_7c09d7c7a61f1c326ad256eca022503a,"योगी जी एक राजनीतिक व्यक्ति नहीं हैं, हिंदुत्व की आत्मा है।",1,0,1,0,1,"Sumi G isn't a political person, the spirit of nationalism."
hin_9bb74071e55371c615bd84a11e53caf0,मराठी मानुष छोड़कर 🙄 हिंदुत्व की सेवा करने जा रहे हैं ???🤔🤗🤭,1,1,1,0,1,Leaving Marathihysities to serve gravity
hin_5db1c04a8e7e90423d61046b4b1534a5,"ओबीसी जनों आओ, थोड़ा हिंदुत्व पर गर्व कर लें ।",1,1,1,0,1,"Come to Obcicissors, take pride in a bit of prejudice."
hin_cf923d75849dc17af7f1743191ca89ac,बीजेपी के झंडे उठाकर हिंदुत्व की रक्षा करेगा ओर क्या..?,0,0,0,0,0,The flag of seed will lift and safeguard the gravity and what?
hin_30b30536bb3b93a1d699a3479a8cfb38,चुपचाप 'GST' वाला आटा खाते रहिए वरना 'हिंदुत्व' खतरे में आ जाएगा।,1,0,1,0,1,Keep eating in silence 'GST' flour or 'Tubia' danger.
hin_f0c1edfb6d4080a71f42c43f82c8217f,बात में दम है आपके। हिंदुत्व के साथ खिलवाड़ तो नही?,0,0,0,0,0,"It's got to be your problem, isn't it?"
hin_14dbdec4def17bd51d930556012562ac,सब की बजेगी एक के बाद एक कि बजेगी #हिन्दुराष्ट्र #हिंदुत्व,1,0,1,0,1,At one o'clock one at the end of the day
hin_886aab1119fd640dd41398f7628e81a1,ये सब हिंदुत्व की आत्मा के दुश्मन हैं,1,0,1,0,1,They're enemies of the spirit of nationalism.
hin_7237e6973f31f63f83c46ae62bb1994f,सच में अब कोई बता सकता है कि हिंदुत्व अब जागा है.!!,1,0,1,0,0,"Really, no one can tell now that gravity is now going on."
hin_ea97556289e41ba713f9c823408cc3de,विकास के साथ हिंदुत्व ...सेवा ही संगठन 😊🙏,0,0,0,0,0,Depiction with development... service only organization
hin_dc85548e5f4d5d2fd8dfa54765c96e81,जय श्री राम जय श्री कृष्णा जय हिंदुत्व जय हिंदुराष्ट्र शुभ संध्या,0,0,0,0,0,Jay Mr. Ram Jaya Jaya Jaya Jaya Jaya Jaya Jaya Indian Indian Good Evening
hin_c4cdeb39b926b286565c35bd8b5f7fec,"हमारी पहचान, हमारे हिंदुत्व की पहचान #सुदर्शन_शौर्य_के_17_वर्ष",0,0,0,0,0,"Our identity, the identifying of our prejudice # Good News_Kick_17_year"
hin_25a539b64b68ea88e6b9e7be73b2e002,दिक्कत हिजड़े से है हिंदू होकर हिंदुत्व का विरोध करते है 🚩🚩🚩❤️❤️❤️❤️❤️,1,1,1,1,1,The problem is that the Hindu continues to oppose Hinduism
hin_24bbd7d8f5a9021bc256972cbdb4c7a9,तुम जैसे फर्जी हिंदू हिंदुत्व का महत्व समझा रहें हैं... वाह!🤣,1,0,1,0,1,You're such a fake Hinduist as you're viewing the importance of Hindu Hinduism...
hin_52395f5eaa9b879bd7bd69726829e4d6,हिंदुत्व विचारधारा और राजनीतिक रूप से ध्रुवीकृत न्यायाधीशों को मार डालो.,1,0,1,0,1,Kill Muslim thinking and politically unrecognised judges.
hin_ed9bd3fe1c2a1e7c145143c66da44181,UP के CM योगी आदित्यनाथ हिंदुत्व की सबसे ज्वलंत प्रतिमूर्ति हैं. #HeartOfHindutvaYogiJi,0,0,0,0,0,&amp;gt;gt;gt;&amp;gt; &gt; &gt;gt;gt;gt; The most important feature of UP is CM generality. #HartOFOHOHOFOVIJi
hin_a7cd6359c4fee129944d35b00feee9d4,सफलता गई भाड़ में हिंदुत्व बचना चाहिए इस देश में,1,0,1,0,1,The success of the fuck should be avoided in this country
hin_5d38b513a3d52c8ac7dc49239812b4b3,हिंदुत्व ही जीवन का सार है । गौ माता जीवन का आधार है । 💐💐,1,0,1,0,0,The reality is the very essence of life. Gay is the foundation of life.
hin_e69d10c66855934ba54afb8e377c68a8,सिर्फ RsS ने हिंदुत्व का ठेका ले रखा है क्या,1,0,1,0,1,Just what RS has taken control of humanity
hin_5b868eab596ba5f0baadd6dfa7422ea6,जो भूल गया होगा उसके अंदर हिंदुत्व का खून नही पानी है,1,0,1,0,1,There's no water with what you've forgotten.
hin_0dc007993ac42739c3bfdaba8ce8085e,ये चीटिया कौन है जो हिंदू और हिंदुत्व पर विश्वास नहीं करता,1,1,1,0,1,Who is this Chitla which doesn't believe in Hindu and Hinduism?
hin_6a88d1fb6f7caa3db9f9cac4d7bd04b1,हाँ हिंदुत्व का सर्टिफ़िकेट बाँटने वाला,1,0,1,0,1,"Yes, the general distribution of mankind's rights."
hin_5de91c6070706e11a029d87004f3c16c,"जय_सियारामॐ 🙏🚩जय महाबली हनुमान 🙏🚩 ⏩संविधान नहीं, गीता हिंदुत्व की अहमियत रखती है🚩💪✌️🚩",1,0,1,0,1,Jay_Cramramrama Hubble Habitani is not the integral part of the songship
hin_c877bd62c53b09714fb45f71e9f3c1ec,UP में बोट जाति पर नहीं हिंदुत्व पर पड़ेगा। #UP_में_फिर_योगी_सरकार जय श्री राम🚩🚩🙏🙏,0,0,0,0,0,The boat won't fall on the nation in UP. #UP_rep
hin_e4632bd0be786abe9d3f99c971f37e44,आप पूर्णतः गलत है अफगान में कौन सा हिंदुत्व है जरा बताये,1,0,1,0,0,You're totally wrong. Tell me what centrality is in the blind.
hin_e6011218d7b864b9a2ab3d2d2c9f28a8,"कटु सत्य, हिंदुत्व के नाम पर हम सब अंधेरा ढो रहे हैं।",1,0,1,0,1,"In the name of bitter truth, in the name of gravity, all of us are bearing darkness."
hin_09b5ac070d066b7f52e1cc64fc9c1ddb,कुछ नही होने वाला ... दोनो की मानसिकता हिंदू और हिंदुत्व विरोधी है,1,0,1,0,1,Nothing's gonna happen... both mental survival is Hindu and Hindu.
hin_9ee324bb83d7b4fc920732efea10bae3,इन जिहादियों की क्या औकात है हमारे हिंदुत्व को रोकने की,1,1,1,0,1,What is the nature of these struggleers to stop our prejudice
hin_2264469b0c83aa2e780584dc96df6f63,हिंदुत्व और देश को तहस नहस करने के लिए लिया था,1,0,1,0,1,Burundi and the country had to be destroyed
hin_892763df287382a905a5d07e08e853f5,हम तो वैसे भी आप के फैन हैं हिंदुत्व को लेके,0,0,0,0,0,"We're the family of you, anyway."
hin_0ec6835ddb4ea0d9462b4b579fcfa036,"नरेंद्र मोदी ""सबका साथ, सबका विकास"", लेकिन विकास सिर्फ हिंदुत्व का",1,0,1,0,1,"The American Monder Modtar's development with ""The East,"" but evolution is only of geneticism."
hin_a63be5b1cf24604be154820d56e1b839,"गलत के लिए लिखना पड़ता हैं , हिंदुत्व के लिए लिखना पड़ता हैं मित्र 😐",0,0,0,0,0,"I've got to write for wrong, mate."
hin_03db0f3e8a559379b66260a385cf21a8,सभी मानते हैं कि हिंदुत्व के साथ बाला साहेब ठाकरे थे पर अब,1,0,1,0,1,All believe that there were higher positions with Hinduism now
hin_f3a4b9db202b4d27b61334f767e2d11d,#हिंदू_हिंदुत्व_हिंदु_उत्थान #हिंदू_ईकोसिस्टम_चम्बल_इकाई एक ही उद्घोष एक ही लक्ष्य समर्थ हिंदू समग्र हिंदुत्व,0,0,0,0,0,#hdu_hodu_hodu_godu_Pinu_Enudo_BAR_Cuncample_the same goal
hin_dc5e8d9e9d39beb15481f3b620916b7d,"#हिंदुत्व के बढ़ते कारवां से #हरे_टिड्डे, #लाल_टिड्डे और #नीली_घगरी वाले बहुत परेशान हैं। #KhalistanPlotAgainstModi",1,0,1,0,1,#CHARCHALCHOCKKKKKKNKKKKKKKKKKKKKKKKKKNKKKKKKKOBOBY
hin_a6491c0ae6c3b9c77b345f9db6129680,हिंदुत्व विचारधारा बढ़ाने वाले मेरे सभी प्रिय बंधुओं को प्रातः कालीन जय श्रीराम,0,0,0,0,0,All my dear prisoners growing up in Indian line won Mr. President Mr.
hin_a88ff6e0508b5f70c953f169df96f1f8,हिंदुत्व के कारण ही आप भी जिन्दा है यह अहसास है या नहीं.,1,0,1,0,0,It's the only reason why you're still alive or not.
hin_92ee0fe58498d2fd350254a40d66c1c0,"हिन्दू जब हिंदुत्व पर डट गया , बहुतों का सेक्युलरिज्म का चोला फट गया..!! #भगवामय_यूपी",1,0,1,0,1,"When Hinduism was defeated, many have been servative-flugged."
hin_44c6478a4b0bf28a9dad9bf3e99f1558,"मरते हिंदुत्व के लिए, ये नज़ारा किसी संजीवनी बूटी से कम नहीं l",1,0,1,0,0,"To die genetically, these scenes are not less than any animation with l"
hin_d27447e7b26f3128af3c20202fb3b856,मुझे यह बता दो हिंदुत्व कौन-कौन से तत्व को मिलाकर बनता है ❓😂😂😂 #hindutva_against_kshatriya,1,1,1,0,1,Tell me which element makes it possible for me to have a right to the elements.
hin_ddd0de5caf909c3df71186383aa53352,"#ModiMakingIndiaStrong देश के हर एक नागरिक में हिंदुत्व जिंदा है , ओर रहेगा ।। जय श्री राम 🙏🦁",1,0,1,0,0,"#MOMMOMSSON's in every citizen of the country is alive, on the other side."
hin_98d076a6622eace115e35339e95354f1,"""हिंदुत्व का सबसे बड़ा चेहरा हैं योगी आदित्यनाथ।"" : शाइस्ता परवीन , अतीक अहमद की पत्नी",0,0,0,0,0,"""The greatest face of masculinity is the sumant beginning."""
hin_dee053092e3f584fa392ef5931eacced,"भाजपाई बात करेंगे ""सिर्फ हिंदुत्व"" की! हम बात करेंगे ""मानवता और विश्व बंधुत्व"" की #सामाजिक_परिवर्तन_मोर्चा",1,0,1,0,1,"Brotherly talk will be ""just a dream!"" We'll talk about ""humanity and worldship."" #D."
hin_f762f439576e610c70a3e983b054e9ee,क्या तुम हिन्दू और हिंदुत्व की तरह इस्लाम की भी परिभाषा बता सकते है ?,0,0,0,0,0,Can you explain the definition of Islam like Hinduism and Hinduism?
hin_1b6be816b2a29861f99f598faa07ce10,टोपियां कभी भी उड़ सकती हैं... इसलिए माथे पर चंदन लगाएं...!!🚩 जय सनातन...🧡 जय हिंदुत्व...🧡,1,0,1,0,1,The helmets can sometimes fly... so give a brief note on your forehead!
hin_77cf796cbd5de6ccfbb793747fd52fc1,उस हिसाब से तो जितने भी हिंदुत्व के ठेकेदार हैं सब तुम्हारे बाप होंगे😂🤣,1,0,1,0,1,"Verily, you (O Muhammad SAW) will be your father (from every kind of person), every one who invites Al-Fahsha' [i.e. follows Islam (i.e. follows Islam to Allah's Religion of Islamic Monotheism, and believes in the Oneness of Allah Islamic Monotheism), and believes in the Oneness of Allah, and believes in the Oneness of Allah, and in His Messenger Muhammad SAW, and in His Messenger Muhammad SAW (Muhammad SAW) ] [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]. [Tafsir Al-Qurtubi]."
hin_a49dee6ecadc57f17a375daf17b247d3,हिंदुत्व का साथ देते देते आप कब जिहादी बन गए पता ही नही चला,1,0,1,0,1,You did not know when you became struggling with prejudice.
hin_98f404bf671d367c66588abe8d235dc0,भाजपा ही हैं जो हिंदुत्व की रक्षा कर रही हैं हर हर मोदी जी 🙏,1,0,1,0,0,"It is brothers who are defending nationalism, every moaning G. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
hin_9fcc046350d64789aed2787dc04b151f,"ये हिंदुत्व की सुरक्षा करेंगे संघी, इसको खुद सूरक्षा का जरूरत पर रहा है।।",1,0,1,0,1,These will be the protection of Hinduism. This is the need for Tyre itself.
hin_b316c00c9c750e859dc8122dbbd64224,अरे भाई जरा देश के साथ और अपने हिंदुत्व के साथ खड़े होकर रहो,1,0,1,0,0,"Hey brother, stand up with a land of two and your tribe."
hin_fcf631289dbb08e0ef9386d3e8b227d7,तुम बस हिंदुत्व बुलंद करते रहो.... वो तुम्हारा पतन करते रहेंगे। कब समझेगा मेरा समाज ☹️🙏,1,1,1,0,1,You're just giving rise to mankind... they'll keep you going to lose you.
hin_78290a5f05b7d97d4e65a95ed0b748b6,हिंदुत्व के खिलाफ संघर्ष में जीत हमारी ही होगी। पॉपुलर फ्रंट के साथ आएं। #PopularFrontDay,1,0,1,0,1,It's ours to win the fight against humanity.
hin_88916687aec2629329e4699eaaceded9,सनातन एवं हिंदुत्व विरोधी को कांग्रेस ने अपना अध्यक्ष चुनकर सनातनियों को चुनौती दी है।।,1,0,1,0,1,"The Congress has chosen his president, and has challenged the everlasting."
hin_f406825704c81d7a6f79e98b4fe3449a,"यह हिंदू की निशानी जरूर है, हिंदुत्व की निशानी कहां है मेरे दोस्त ?",0,0,0,0,0,"It must be a sign of Hindu, where's the sign of Hinduism, my friend?"
hin_9fe5d942806c6b3fb3782debd268d21b,जय हिंद जय हिंदुत्व।लोकतंत्र की खूबसूरती.औऱ आप जैसे बुद्धजीवियों के लिए संजीबनी।,0,0,0,0,0,The beauty of the Chalda Guruism. The beauty of the geology.
hin_6be438a87479eac82c169edce19f4d3f,जितनी जल्दी हिंदुत्व ओर राष्ट्रवाद समझ लोगे ओर अपना लोगे उतना अच्छा रहेगा......,0,0,0,0,0,As soon as nationalism and nationalism will understand and they will be as good as they are...
hin_3eccca5416526507745c5b0932607585,"महाराज जी लेखपाल की वेकेंसिया निकलवा दीजिए , जय श्री राम, बीजेपी जिंदाबाद हिंदुत्व जिंदाबाद",0,0,0,0,0,"Get out the pans of Your Majesty G.C.A., Jay Mr. Ram, Grepbadabad alive."
