id,text,polarization,text_en
rus_c8d4723b1a6272d5da9f22472b0a7d9b,@USER У них все пендосы или чурки. Они одни в белом пальто,0,@USER They have all pendos or curls. They're all alone in a white coat.
rus_c611326429f8022007223fa447450fbd,"Израильтяне начали знакомится для ""совместного проведения домашнего 14-дневного карантина"". Называется ""Карантин с первого взгляда"". Это почти так же смешно  как пациентка номер 74 заявила  что после обнаружения у нее коронавируса все лесбиянки Тель Авива под угрозой.",0,"It's almost as funny as patient number 74 said that when she discovered the coronavirus, all of Tel Aviv's lesbians were in danger."
rus_03c88915f2c6cc48eddc6a3a82bdd2e0,Стратегию по преодолению продовольственного кризиса в условиях пандемии COVID-19 представили в Исламской организации по продовольственной безопасности -,0,COVID-19 presented a strategy to address the food crisis in the context of the pandemic to the Islamic Food Security Organization -
rus_57feaa6031db6a3f22959f3bd79e443a,извините но по всем моим тестам вы не женщины,0,"I'm sorry, but on all my tests, you're not women."
rus_af2d4ac314c5dbe9d3d9524f3343584b,Я давно говорю  что азиаты сильнее страдают от вирусной пневмонии не потому  что вирус этнический  а потому что дымят как паровозы.,1,I've been saying for a long time that Asians are suffering more from viral pneumonia not because the virus is ethnic but because it smokes like steam engines.
rus_b90b56aff2df74f32c42d6304af7b2cc,Прежде чем мне предъявят за тон Многие женщины  которые из выстраданного опыта  мыслей сотен других женщин  фактов  статистики и здравого смысла извлекли истину и облекли ее в радикальный феминизм говорят неприятным тоном правду Тут имхо подаётся как истина в последней инстанции,0,"Before I'm introduced to the tone, many women who, out of the painful experience of hundreds of other women, have learned the truth of statistics and reason and put it into radical feminism, say the distasteful tone of truth."
rus_5b78f4a2014201ad86831c5687f6ea48,@USER Остались одни верные турки?...,0,@USER is the only true Turks left?
rus_8ae173bfa12bb07626a4fe7b51899f20,Народ везде одинаков. Толерантность кончается  когда речь идёт о выживаемости. Люди готовы убить друг друга  если ты заражён. Цивилизованная Европа превращается а дикую азиатщину. Маски сняты.,1,People are all the same everywhere. Tolerance ends when it comes to survival. People are willing to kill each other if you're infected. Civilizing Europe is turning into a wild Asian. The masks are off.
rus_8b5a96b49eec27726469befec4f5f727,В Москве 857 новых случаев заражения за сутки. Причем это уже не любители зарубежных турпоездок. Там все сроки инкубационного периода давно прошли. Предполагаю  что это самонадеянные Фомы неверующие и любители поесть жареного мяса на групповых пикниках. #сидим_дома,0,"In Moscow, 857 new cases of infection in 24 hours, and it's no longer a fan of foreign travel, and it's been a long time since the incubation period, and it's supposed to be a presumptuous Thomas disbeliever and a fan of eating fried meat on group picnics. #sidim_home"
rus_eed01f1fc5b054b23d7e58ed684c88d6,Германия  Берлин. Ничего необычного  просто новые хозяева (#мигранты) Германии забили болт на карантин и все законы  и приняли участие в своих обычных досугах.,1,Germany Berlin – Nothing unusual is just the new owners (#migrants) of Germany bolted on quarantine and all the laws and took part in their regular leisure activities.
rus_93d439ce8bb0292fa662a8c41da8835d,"Неучи превзошли сами себя ""родившегося от заражённой коронавирусной инфекции женщины"" вы там точно не инфицированы вместе с мозгами?",0,"You're definitely not infected with brains, are you?"
rus_e14aa9c1db320b8680bb4388612f7068,@USER ой так у нас 30 человек и только 12 провославных остальные евреи  азерб татары и даже эстонцы есть Я думаю так везде родной СССР,0,@USER oh so we've got 30 men and only 12 wired other Jews azerb Tatars and even Estonians are I think so everywhere home to the USSR
rus_240ab8598397334221c05a747193b5ea,@USER Говорят  турки спасли 50-55 человек. Турки!,0,@USER says the Turks saved 50-55 people.
rus_d4008fb894c2eb909afe80f5daf53e9d,самые мои нелюбимые работы в изоизоляции — это когда женщины выбирают «красивые» картины и фоткаются «красиво». камон  от этого диктата и так избавляемся всю жизнь  а тут ещё и в карантине нашелся предлог п(р)одавать себя как блюдо. для меня эта группа про смешную детальность,0,"My most unlovable work in iso-isolation is when women choose ""beautiful"" paintings and take pictures of ""beautiful."" The catons of this dictatorship are already getting rid of their lives, and there's also an excuse in the quarantine to be like a dish. For me, this group is about funny detail."
rus_232321964e3b28f407e514a42abe1912,будет под гормональным шумом  беременная  отупевшая от выкармливания и так далее. Если мужчина начинает психовать и бычить или ломается на данном этапе  нужно уходить. Но женщины часто вцепляются в мужчину от жадности  вопреки проваленному тесту  а дальше - сами дураки,1,"If a man starts freaking out or breaks up at this stage, but women often cling to a man's greed despite a failed test, and then they're fools themselves."
rus_2d72c97ed37c4f03467f9030c46b8718,Щас только что в маршрутку зашли грязные цыгане  хоть у двоих были маски  но я уверен что они их украли,1,"The dirty gypsies just got on the route, at least the two of them had masks, but I'm sure they stole them."
rus_d408a92c54f035d01cd68f8544ecbcd3,МВД предлагает считать экстремизмом проведение любых несогласованных акций. Даже одиночный пикет. В карантине мы оставим последние права.,0,"The Ministry of Internal Affairs suggests that we consider extremism to be any uncooperative action, even a single picket, and we will leave the last rights in quarantine."
rus_72f145785336525f49d0bb3d1ce79766,"Я тут узнала  что краш хотел предложить встречаться после карантина Путин: ""карантин до 30 апреля"" Я: заебись чотка  мне нравица Бля от души нахуй #тнрс #лгбт #краш #Жизнь #мем",0,"I found out that crash was gonna offer to meet after Putin's quarantine: ""Carantine till April 30."" I'm gonna fuckin' fuckin' love me."
rus_50837b56191dcae820e7032562949ff8,Проведи карантин с пользой - освой технику сквирта,0,Do the quarantine with the benefit of the squirt's axial technique.
rus_3ceabd12819ef77ffd19a5561308327a,кажется моя мать вспомнила что она ебанутая сектантка и поэтому она выгоняет брата гулять на улицу и разрешаем ему водить гостей мы с папой ей блин говорим что пандемия карантин самоизоляция не 40% умерших от ковида младше 45 ей похуй можно пожалуйста я заражусь и умру,0,I think my mom remembered that she's a fucking cultist and that's why she's kicking her brother out and letting him drive guests. Daddy and I are fucking telling her that the quarantine pandemic is self-isolating not 40 percent of the dead from a rug under 45 she doesn't give a fuck.
rus_fef57c6cac4c11e506664d99c3e2c510,Карантина не будет колледж принял ислам,0,Quarantine isn't gonna make college Islam.
rus_d8d16d84f9cdfef06d5ded6a730bc55c,Министр иностранных дел Британии сообщает  что сегодня страна получила 300 вентиляторов из Китая  еще тысячи уже в дороге  как и маски и средства защиты. В комментариях проклятия  оскорбления и махровый расизм в адрес китайцев  который заставил бы и наших чубатых позавидовать.,0,"The British Foreign Minister reports that today the country has received 300 fans from China, thousands more on the road, as well as masks and defenses, in the comments of the curse of insult and foul racism against the Chinese, who would have made our monsters envy."
rus_bce8f8dcb5aa4ac92e9c8aa9d59790de,Что общего у стран  лучше всего справляющихся с пандемией? Женщины во главе,0,What do countries have in common best against the pandemic?
rus_d6117531b2451ff09be24a1d6317fea1,@USER Думаю не казахи а молодеж у которых не традиционные ценности,0,@USER I don't think Kazakhs are young people who don't have traditional values.
rus_0961a66914afad5e0f778076d92e4167,"Кстати  а вот - ""Секта отрицателей вируса седьмого дня"" утверждает  что вируса нет!

И как быть? Кому верить? 😏",0,"By the way, the Seventh-Day Antivirus Network claims that there is no virus."
rus_0038010484531275d64bdb4a8d17e3e8,"Никто:
Абсолютно никто:
Турки: все хорошо  все нормально  сейчас будем драться",0,No one: No one at all: Turki: It's okay. It's okay. We're gonna fight right now.
rus_cf5934380f71549e4a5a543c405eb8f6,Всё что могу сказать  что геи как искали парней без короны  так и ищут.,0,All I can say is that gays are looking for guys without a crown.
rus_a7c0e05a782c10cec4b3989bf8d93198,В Петербурге по распоряжению Александра Беглова ввели новые меры по борьбе с коронавирусной инфекцией. Представители почти всех религиозных конфессий констатировали  что подчинятся решению городских властей. В частности  готовы к этому и петербургские буддисты.,0,"In Petersburg, Alexander Beglov had introduced new measures to combat coronavirus infection, and almost all religious denominations had indicated that they would obey the decision of the city authorities, including the Peterburg Buddhists."
rus_12f4c662c8267df879b4378924ec964a,По самоизолированному городу бегает «корреспондент» Петя и пристает к людям. Петя  по примеру прочих блохеров  гражданских журналистов и всяких лгбт активистов  хочет показать реальность пандемии в Питере без прикрас путинской пропаганды.,1,"The self-contained city is runnin' by Pete's reporter and pissing on people, and Petya, like all the other blochers of civilian journalists and all the liars of activists, wants to show the reality of a pandemic in Peter without the beauty of the pathetic propaganda."
rus_c5d1f882c3aef1b383b714f90d4b290f,"Все пак си мисля   че са по-напред. 
Имат си в правителството алкохолици  изнасилвачи  измамници на много едро...ехее...а ние само едни дребни мошеници и мижитурки  дето дори и от Кьовеши ги е страх  ‍",0,Imat's in the government of Alkoholzi rapes the moms on a lot of food... heh...heh...heh.
rus_70d45d2efa78b5ef749e20d7904f4465,Моди вынужден был пойти на такие меры  ведь до этого он ПРОСИЛ народ не выходить  самоизолироваться  но не все послушались  а индийские мусульмане начали устраивать протесты  что их не пускают в мечети. Вот и результат. На сегодня в Индии 536 случаев заражения,0,"Modi was forced to take such measures because he had previously asked the people not to go out to self-insulation, but not everyone listened, and Indian Muslims began to protest that they were not allowed to enter the mosque."
rus_ac579c707ae69ef6bf8ce456bb9ffff6,Расизм в Италии по отношению к китайцам из-за вируса. В Украине и в половину такого нет. Была провокация в Санжарах так все визжали дня три. В Италии вобще хуйня творится и такой себе заштатный сюжетик. Coronavirus in Italy: lockdown  solidarity and racism,1,"Racism in Italy against the Chinese because of the virus, there wasn't one half of it in Ukraine, there was a provocation in Sanjara that everybody screamed for three days, and in Italy, there's a fucking succulus in Italy, coronavirus in Italy: lockdown solidarity and racism."
rus_e410884eb9bf2b91bdab542e7e42eda2,@USER @USER То же с долгами. Но переносчики коронавируса  возможно их любимые мигранты.,1,"@USER @USER Same with debts, but the coronavirus transmitters may be their favorite migrants."
rus_5081819a167446a652791a763bf56b16,Следовательно они воры  дибилы в статусе разрушающего все вируса. Воры дибилы верующие в опастный вирус. Слово паразит это слижком гуманно. Вирус VS Машина. Десятки вопросов всед за этим выводом.,0,"So they're thieves of dybils in the status of a virus that destroys all of the virus, thieves of dybils who believe in a dangerous virus, the word of a parasite is squeezing humanely, VS virus of the Machine, dozens of questions everywhere behind this conclusion."
rus_105c27c46cb81018be63f177d726f9aa,Повторюсь  я зануда ни расизм ни сесизм в ленте не терплю. Не нравится - на выход. Тупые обвинения что китайский грязный рынок причина пандемии -ваш способ победить страх и это не работает  потому что наши соотечественники всем нам приговор в прошлом апреле подписали,0,"Once again, I'm bored with racism and sessism on tape, and I don't like it on the way out, and the stupid accusations that the Chinese dirty market is the cause of the pandemic are your way of defeating fear and it doesn't work because our compatriots signed our verdict last April."
rus_f03460e5cc5fbdb4e83d5624759bf539,"Так слева ""ШОУ-БИЗНЕСС""  справа ""РЕЛИГИЯ"". Вот и вся разница. Фил и Зверев тоже оч любят наряжаться в короны/наряды с каменьями",0,"So on the left of ""Shou-Bizness"" on the right of ""Religia."" That's the difference. Phil and the Beast also like to dress up in crowns/stones."
rus_91cf12b276b292beae17269b6f2c86df,в Северной части Италии  после вспышки там  многие боялись  что цыгане начнут бежать домой  да и отсутствие границ позволяло бесконтрольно всем передвигаться. В аптеках не осталось масок  санитайзеров  но в основном все ещё особо не прятались дома.,0,"In northern Italy, after the outbreak, many feared that the Roma would run home and the lack of borders allowed everyone to move out of control."
rus_261e004cc4ba75d8d433dfed41ff73f0,Чисто напоминание что большинство абьюзеров все еще мужики. Да  женщины тоже могут быть абьюзерами  но это не меняет статистики.,0,It's just a reminder that most abysers are still men.
rus_c0cf0f089f5679bc902e5ffb320e7037,Вчера пришлось нырнуть в глубокие бездны коронавирусного невежества и что могу сказать- хотя бы в этой пандемии у нашего народа геи не виноваты! Well done  Россия.,0,"Yesterday, I had to dive into the deep depths of coronavirus ignorance, and what I can say is, at least in this pandemic, our gay people are not to blame!"
rus_f5eb101120585d577722d5df3e1a8ac5,В Шереметьево такой киберпанк  все азиаты тут полностью укомплектованы в белые защитные костюмы  маски на глаза и респираторы. Все остальные люди их шарахаются.,0,"In Sheremetjevo such a cyberpank, all the Asians here are fully equipped with white masks and respirators."
rus_5308ed99a467f2afed459b3efa0e4bdd,Итак. Небритые подмышки какой-то поехавшей на мескалине суки. Малолетняя защитница детского сада (зачёркнуто - феминизма) . То ли лайк не поставил Петька на пост  то ли Васька просит фото вагины. Ну и теории о заговоре вокруг COVID  вина во всем этом Владимира и т. п. Это твиттер,0,"So, the unbridled armpits of some messalin-run bitch, a young kindergarten defender, whether or not he put Petik in the post or whether Vashka asks for a photo of the vagina, and the theory of a conspiracy about COVID wine in all of this Vladimir et cetera."
rus_023f37b9cbc49ac23af51f8dc04e02b4,"Да  кстати  если вы считаете что нарушение режима самоизоляции ради ""выпить певка пока бары не позакрывали"" – это касается только вас  и всякое осуждение этого поведения – дискриминация сроду расизму и гомофобии  отпишитесь пожалуйста.",0,"By the way, if you think the violation of the self-isolation regime for ""singing a singer until the bars are closed"" is about you and any condemnation of this behavior is about discrimination like racism and homophobia, please sign off."
rus_9444967deb5e856e7ac1c4e2e2a73709,Произошёл страх всей моей сознательной жизни. Ко мне вплотную подошёл один узбек с работы  я отодвинулась(из-за вируса) на 1 5 метра  а он начал меня обвинять в расизме.,0,"There's been a fear of my whole conscious life, and I've got a musket coming right up to me from work and I've moved 15 meters away and he's started accusing me of racism."
rus_447ea3b8529be1dc78fce29cc0699db3,@USER @USER @USER Как оказалось нет. Казахи всегда сказали количество детей меньше.,0,"@USER @USER @USER As it turns out, no. Kazahi always said the number of children was smaller."
rus_caf4941667689d6b727a4a16d7a8987f,"Такое ощущение  что высказывания про social distancing и flatten the curve становятся такими же бессмысленными мантрами  произносимыми рандомными ""экспертами"" невпопад  как рассуждения про ""просто грипп"" и якобы большую опасность расизма по сравнению с его эпидемией в январе.",0,"It seems that statements about social distancing and flatten the Curve become just as pointless mantras by random ""experts"" not to fall into the discourse of ""simple flu"" and allegedly a greater risk of racism than his epidemic in January."
rus_0e96570e3ea87dede0089e00bf81e4ae,Сергей Сергеич Митрохин из Яблока и сложные манипуляции по надеванию маски,0,Sergei Sergei Mitrohin of Apple and the complex manipulation of wearing a mask
rus_9517676372d08adedc4e754f3a3ae78d,Россия в шаге от фашизма  причем в его самой мерзкой форме. Шовинизм  травля  фанатичная безумная ненависть - вот плоды многолетней псевдопатриотической пропаганды. #Путинизм #Мразьссия2020 #Covid_19 #Коронавирус,1,Russia is a step away from fascism and in its most vile form. The chauvinism of bullying fanatical mad hatred is the fruit of years of pseudopatriotic propaganda. #The pathism #Messia20 #Covid_19 #Coronavirus
rus_eb2b147230c5f5fa808cde8829f13724,Не виделся с парнем уже около 3 недель. Спасибо ОРВИ  Спасибо Коронавирус #карантин #парень #лгбт,0,I haven't seen a guy in about three weeks.
rus_acd1aef08526411c634e7ab425e6e804,И вообще по отсутствию маски у человека я вижу что он верит в то  что вирус выдумка  что им болеют только китайцы/неверные/у кого плохой иммунитет  что это все заговор с целью сделать Даригу Назарбаеву президентом и пр. Все адекватные должны носить маски и соблюдать дистанцию,0,"And in fact, in the absence of a mask, I can see that he believes that the fictional virus that only the Chinese/unbelievers/who have bad immunity are sick to them that it's all a conspiracy to make Dariga Nazarbaev president and so on. All the right ones should wear masks and respect the distance."
rus_1f170560e5b91c4a9048d8a8c02da109,Одни чурки на дореволюционном крытом рынке выглядит ужасно,1,Some curls on the pre-revolutionary wing market look awful.
rus_a3bc388938873ba01872fe13902a1f24,слава богу карантин и нам какое-то время не придется видеть как русские женщины приезжают в европу и выкладывают оттуда скриншоты тиндера,0,"Thank God quarantine, and we won't have to watch Russian women come to the Europa for a while and put out the tinder screen shots."
rus_78e2c4205812be0e0c102c68956219f1,Ну судя по тому что гейтс так активно взялся за вакцину этот может ставь отечественную если что или китайскую я бы геитса вакцину тоже забоялась ставить  не чип так ещё ченть присобачит,0,"Well, judging by the fact that the Gates are so active on the vaccine, this could be domestic. If anything or Chinese, I'd be too afraid to put a chip on, too."
rus_b6d6d58a7df9bb288362d72e5823ba18,@USER @USER Да и Россия не была бы такой большой.Жили бы счастливо якуты  чукчи  эвенки  казахи  киргизы и т.д.,0,"@USER @USER And Russia wouldn't be so big. Live happily ever after the yakutas of the kirgis' karahi karahi, etc."
rus_dacf7bd6951f3053f2e97b3ea0ae6939,@USER С виду полно. Девушки выкладывают свои голые телеса  мужчины - всякую болтовню  активизировались с карантином,0,@USER Looks full.Girls put their naked TVs out to men - all the chatter has intensified with quarantine.
rus_18d408bc8cac6accc8bc8bbf91dcdc34,казахи у нас теперь тоже уайт пипл?,0,"Do we have the kasahs now, too?"
rus_c0cf655ff929cc5ab37405faf3c8c454,ВОЗ:объявляет пандемию Мадрид Риоха Баски Каталония:закрывают школы Валесия:переносит Fallas Власти нашего колхоза:а давайте выведем всех детей на улицы и проведём марш за равноправие! Конечно блд давайте!Пох  что в местном госпитале уже 67 заражённых,0,WHO: Proclaims the Madrid pandemic of Rioja Basca Catalonia: closing Valesia schools: carrying Fallas to the authorities of our colhose: let's take all the children to the streets and march for equality!
rus_3de1e3b235bfe2108810bcb561fbf6fa,БЛЯЯЯЯЯЯЯТЬ   Я ЧУВСТВУЮ   ЧТО Я МОГУ ПРЯМО СЕЙЧАС ПОЦЕЛОВАТЬ КРАША НУ ПРЯМ Я УЖЕ ПСИХУЮ   ЕСЛИ БЫ НЕ БЫЛО ВИРУСА ЭХХХХХХХ #лгбт,0,♪ I feel like I'm gonna make the best of it now ♪ ♪ if there wasn't a Virus echohhhh #lbt ♪
rus_fcbdcb56e6542b3cd7686e785ba5848c,Капец  я не видела ее уже месяц  и не увижу ближайшие 25 дней. Мне кажется  я начинаю сходить с ума  она начала мне сниться каждую ночь. Спасити #карантин #лгбт,0,I haven't seen her in a month and I don't see her for the next 25 days. I think I'm starting to freak out.
rus_d2e3044a47be1fa7013b4b7518757c8c,@USER @USER Все казахи поддерживают Украину  как казах говорю. Слава Украине !,0,@USER @USER All Kazakhs support Ukraine as a Kazakh.
rus_89ad2d3a3270fb26d86cadb1b5d14b1a,"> я предположил  что это старая европейская традиция прогонять чуму из города шумом и стуком  которую  стесняясь  маскируют под новейшую традицию ""салют невидимым врачам"" разумеется  жду возрождения традиции аутодафе под видом санитарных мероприятий к нарушителям карантины",0,"> I assumed that it was an old European tradition to drive the plague out of the city with noise and a knock that, shy of being disguised as a new tradition, is being ""gave to invisible doctors"" of course waiting for the rebirth of the autodafe tradition under the guise of sanitary arrangements for quarantine violators."
rus_c68378ada1fafc1c8143d8ddf2437c67,"По-моему все казахи читают 
Европеизированные казахи 
читают рэп
А не европеизированные казахи 
читают намаз",0,I think all the Kazakhs read Europeanized Kazakhs read rap. And the non-European Kazakhs read prayer.
rus_3d0ee1f3625125e9cf28ed3e52d765bf,@USER @USER В казахию валят казахи с российским гражданством так что забирайте свое гавно обратно.,1,"@USER @USER in Kazakh is filled with Kazakhs with Russian citizenship, so take your shit back."
rus_d19e075656ec3edf928bb5cadd7f16e4,Такие евреи как кретин карантин хай уёбывают.остальные пусть остаются.а Порох возвращается в кресло.,1,Jews like an asshole quarantine hai go fuck off. The rest of them stay. The gunpowder goes back to the chair.
rus_355a6a34f5b78d49874f36ef8b436b82,Никогда бы не подумала  что евреи со всего света летают делать операции в Кишинев. А особенно  чтобы отлежаться там во время пандемии коронАвируса. Вот что значит - избрать правильного президента Дидона.,0,"I never would have thought that Jews from all over the world were going to do surgery in Chishinev, especially to lie there during the Crown Avirus pandemic, that's what it means to elect the right president, Didon."
rus_70dd724fdbdf68f2cce4979c24206922,Это все казахи начали,0,That's all the Kazakhs started.
rus_b19bcffc6cae8c98616ada6a9746f577,я конечно понимаю что религия и все дела (они вроде как кришнаиты какие-то или типа того)  но блять?? господи батину сестру едва вытащили из Индии до закрытия границ  так она ещё и на карантине отказывалась сидеть дома В очередной раз убеждаюсь  что батина семейка - долбоёбы,0,"Of course I understand that religion and everything (they're sort of Krishna or something) but fucking?? God damn my sister barely got out of India before the border closed, so she also refused to sit at home on a quarantine. Once again, I'm convinced that the motherfucker's father is a motherfucker."
rus_4bdbd32e1c041755eabb393d461a465d,Очень тяжело переживают самоизоляцию геи. Они с трудом сводят концы с концами.,0,"It's very hard to be self-insulationed by gays, and they're having a hard time making ends meet."
rus_9057964ab0ce88c54730db7f6080132c,С таким соотношением цена/качество  ему только в период эпидемий зарабатывать. Есть там блин  «Илья Муромец»  вкушал  бывало. Но после крымнаша  идёте вы дядя нахуй  не взирая на эйджизмы  феминизмы и волосы на тупой башке. Ты жополиз  а не предприниматель,1,"With this ratio, he only earns his price/quality during the epidemic, and there's a lot of Ilya Muromec in there, but after the Crimean, you go fucking uncle no matter what the feminism and the hair on the dumb head, you asshole, not the entrepreneur."
rus_3bcaeba3eca3c2aa2390bc1a9378ca92,@USER Для соблюдения карантина ..там непослушные верующие живут вот и заблокировали движение,0,@USER To maintain quarantine ..there the naughty believers live here and block movement
rus_4d052a75d123aab74534941c22f92197,«Повышенная толерантность к врагам  приводит к повышенной смертности среди друзей.» - не знаю  кто сказал эту давно ставшую расхожей фразу  Голда Меир  Аль Капоне или ещё кто  но сказал очень точно.,0,"""The increased tolerance of enemies leads to higher mortality among friends."" I don't know who said this long-standing phrase of Gold Meir Al Capone or anyone else who said it very accurately."
rus_23736f1ab4b636f2e4f14f2737daf316,"А этого Оскара Ликсутова посадят на 5 лет (или на сколько они там собирались ""нарушителей карантина"" сажать)? А если за 15-летнего папа должен отвечать  то посадят ли папу? Вопросы  конечно  риторические. Р - равноправие.",0,"And this Oscar Lixutov is going to be put away for five years (or how long they're going to put out ""quarantine offenders"")?"
rus_6b8c87e9003bc669d55c04af48d5c19a,@USER как это?Вы вроде трещали что азиаты только болеют  и вообще это как орви обычный,0,You've been saying that Asians only get sick and it's like an eagle.
rus_f20dcf547f4b05cd7b013cf18ae57277,Ты их протестируй тестом на испорченость  а то может они и не фемки вовсе а обычные бабы))),1,You test them with a spoil test or maybe they're not femmes at all.
rus_a7b1d6b4995430b1969ac0b524bfe0a6,казахи на лошадях-красиво и мощно  сыны Чингисхана в движении……,0,The kasahs on the horses are beautiful and powerfully the sons of Genghishan in motion...
rus_af1bd2bbbd69b029951d475d60607264,Роухани: Иран справляется с коронавирусом лучше  чем Европа. «Когда мы говорим  что ситуация в нашей стране лучше  чем в Европе  многих это раздражает. Да  лучше. Сегодня мы лучше справляемся с коронавирусом  чем вы»  – заявил президент исламской республики Хасан Роухани.,0,"Rohani: Iran is doing better with the coronavirus than Europe. ""When we say that the situation in our country is better than in Europe, it is annoying for many. Better. Today we are doing better with the coronavirus than you are,"" said President Hassan Rohani of the Islamic Republic."
rus_434ca17793f12f487bdecd73eaea2edf,Сегодня узнала про шкалу Кински. Прошла. Это тест на ориентацию. Оказалось  что я бисексуальна. Прочла  что все женщины такие. Отлегло,0,"I found out today about the Kinsky scale, I passed it, it's an orientation test, it turns out I'm bisexual, and I read that all women are like that."
rus_136c41c923fca13f72efc9604d80f65d,А потом спрашивется октуда такой уровень смертности  просто много какие геи на ножи падают,0,And then you ask the octa that death rate just a lot of gays fall on knives.
rus_b3c1171806b0ff0c14ea9149c2c01d9b,Мобильные группы  состоящие из толстого полицейского  пьяного дружинника  вонючего попа  дородной женщины из администрации и задохлика из Роспотребнадзора патрулируют улицы на предмет соблюдения санитарно-эпидемиологических норм и режима самоизоляции.,0,"Mobile groups consisting of a fat drunken police friend, a stinking asshole of an administrative woman and a suffocation from Rossimnadzor patrol the streets for sanitary and epidemiological standards and self-insulation."
rus_7a7a50ddb6dd6ed7c9543e9a170b80ba,Самые большие вирусы это мужчины. Они так же размножаются совершенно не думая,1,The biggest viruses are men.
rus_1ad32074f580acf756be1e082856da1c,Карантин:начала материть учебу слишком уж ее много 4 нервных срыва+куча психов начала орать на людей беды с башкой свела две ЛГБТ парочки в симсе чем ппц как горжусь нахамила преподам и теперь думаю выгонят меня с училища или нет. Однако здравствуйте #лгбт #COVID2019 #трнс,0,"Quarantine: At first, she started her studies with too many of her four nervous breakdowns and a lot of psychos started yelling at people in trouble with the head of two LGBT couples in syms than proud of the teacher and now I think they're gonna kick me out of school or not, but hello #lgbt #COVID2019 #trns."
rus_b908d3f94176cde6c6b886a0b315c41a,А что  до этого  беременные женщины не был в группе риска? Вот китайцы недавно сделали фейковый сброс  что дескать у 15% новорождённых обнаружен корона-вирус. Узкоглазие покомоны даже не подумали о сроках беременности. А ещё они сообщили  что у них кошки корона-вирусом заражаются,1,What about pregnant women who weren't at risk before?
rus_434164f9dcd2c857e1b15508309b919e,Разные часовые пояса - это отговорка для мальчиков  а нам нужны мужчины!,0,Different time zones are excuses for boys and we need men!
rus_ada0d4bbde08d67fdafd2f9b2ac2ead6,@USER @USER Ну мусульмане как и запад тоже бывают разными в частности те что прикормлены опг кремля(,0,"@USER @USER Well Muslims as well as the West are different, in particular those fed by the cream oppa."
