id,text,polarization,text_en
pol_7c881fcc900d188a7960c264a2acebe8,"Ta relacja powinna być objeta śledztwem.Ruskie śmiecie opłacają ich,taka prawda",1,"This relationship should be investigated.The Russian trash is paying them, that's the truth."
pol_7cc3fba4012ed70e3c44f91fbd57589b,Czyli #niedojebaniemozgowe bo TVPiS?,1,So it's not fucked up because of TVPiS?
pol_3c5fac19aa9acfa8c7f37603e52f714a,Jedyne co umiesz znaleźć psie to przypadkiem rower w krzakach.,0,The only thing you can find is a bike in the bushes.
pol_a358bcefec214f0c93fe0468e2cf8eea,"no i tak sie konczy chojrakowanie leszczy xD 
 mozesz przeprosic i wyp....c xD",0,"You can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize, and you can apologize."
pol_76471f896133fbadef7ae79b5343642b,"jest jakies legitniejsze zrodlo tego info? 
 
 @URL 
 
 Może być?",0,is there any more legit source of this info? @URL Is that okay?
pol_052f8acc86064f40fd68ad5fb3d48d7b,"Oni fasolkę po bretońsku nazwali pomidorówką z fasolą. Xd 
 
 Ramen jest zupa jak fasolka.",0,Xd Ramen is a bean soup.
pol_f223e7d616ec0504f208e16caa071e85,podobnie jak marsze pedałów i pedofilów spod znaku LGBT i tęczowej flagi :*,1,like the marches of the LGBT pedals and pedophiles and the rainbow flag:*
pol_0ec1beb17fea12f09c96caeccd5e8644,Ja bym tam wstawił zdjęcie Nazwisko .,0,I'd put my name on it.
pol_fe1f30307af5a35822b8366aa337a4d8,nie ma to jak pochwała pedalstwa ha ha,1,There's nothing like the praise of gay ha ha
pol_84bd1153298de0b4e85762da594c8049,Rozwój broni nie stoi w miejscu. Możesz Achtungi taśmą oblekić dookoła i trochę gwoździ rzucić do środka.,0,You can tape Achtungi around and throw some nails inside.
pol_42566c904a27ee1d0d35a6bac3dfee62,to była dla mnie wisienka na torcie w całej tej aferze :D,0,"It was a cherry on a cake for me in the whole ""D"" thing."
pol_5d04cbb6971f6386825f6cc3d81d7d4d,"Do pelnej miski zawsze rano przyczlapie leniuszek. (｡◕‿‿◕｡) 
 
 ! #pokazkota #ladnapani #pokazpsa #chwalesie #pokazrozowegopaska #rozowepaski #smiesznypiesek #nsfw",0,Lenius always catches the full bowl in the morning. () ! #showcot #ladnapani #showpsa #chalesie #promotional band #rose stripes #funny doggy #nsfw
pol_fcb9168f1b7a41ea811807155e53cc26,Skoro jest warzywem czy tam w śpiączce to co to komu przeszkada? Ona i tak o niczym nawet nie wie,0,"If she's a vegetable or in a coma, who cares?"
pol_cb925ec60c56a6ad547584b37928b89a,"Daily reminder: 
 
 przyznał się do zgwałcenia kobiety. 
 to 
 #polityka",0,Daily Reminder: Confessed to raping a woman. It's #policy
pol_1148049709ccfb1d4ec7e481e0b2a8e9,"700 milionów było, nie krępuj się, platfusiarze i tak łykną.",1,"$700 million was, go ahead, the platfussers are gonna take it anyway."
pol_9171fc4918a728bedf1ded17290c0034,Trzeba się tego problemu w końcu z Polski pozbyć.,0,We must finally get rid of this problem from Poland.
pol_fe90cf774e53cf2277507553457dafe3,Nazwisko ty kurwo jebana przestań mi garaż prześladować,0,"Your name, you fucking whore, stop harassing my garage."
pol_42395a535011133dbcd44f9a10cc4b07,"Czy może mu ktoś powiedzieć czemu ludzi piszą jak jakieś jebane gimbusy 
 > „p0lki to coorvy” 
 Lochy to kurwy. Polki to kurwy. 
 Tak ciężko? 
 #przegryw",1,Can somebody tell him why people write like some fucking gimbuses are coorvy dungeons are whores.
pol_5dc974572f954238f8dfb1a5dc1e739f,sam kurwiu jesteś idiotą (albo idiota cię spłodził),0,"You're an idiot, you bitch."
pol_b3ccdef36315b5a40544f684a06aa95d,"Polki biorą przykład z Kingi Nazwisko ( ͡° ͜ʖ ͡°) 
 źródło: @URL",1,The Polish people take an example from Kinga Name () source: @URL
pol_acb46b0f532e174dc639f5ff6cb08bce,A idz do piekla kurwo wsciekla,0,"Go to hell, you fucking crazy bitch."
pol_f8738711481c5be3f4d9784c0e1cc4b5,Lewaki marzą sobie o tym xD,1,Lefters dream about it xD
pol_0dfe49e730b81e241c98a6ad2894ea89,"Przecież wytłumaczyłem, że wg. mnie sedno problemu jest gdzie indziej. Wg. mnie nie ma to różnicy czy to jest religia, czy kółko szachowe.",0,"After all, I explained that according to me, the point of the problem is elsewhere. I don't care if it's religion or chess club."
pol_b4dfec0cc74931698a1c5ac40b32a520,"> amerykanin zużywa średnio 4- 5 razy więcej energii niż Europejczyk 
 2 razy więcej",0,> American consumes an average of 4-5 times more energy than Europeans twice as much
pol_5d5791a7855f8b684869d8c61923bb53,kiedyś wieszali choinki wunderbauna w parowozach xd,0,They used to hang wunderbauna Christmas trees in steam cars xd
pol_9407334793e89e0398d88fcc7b4cd17d,"klasyk, ""ruscy gorsi od niemców"". Siebie warte bandy skurwysynów i bydła, tym były obie strony wtedy. 
 Ludobojstwo i zbrodnicze plany po obu stronach.",1,"A classic, ""Russian worse than Germans."" Worth a bunch of motherfuckers and cattle, that was both sides back then. Genocide and criminal plans on both sides."
pol_834cc7872d053eaba8c54cdcebccab1b,"i co, napiszesz, ze Kapitan Beniz napisal Ci ze jestes pizdusiem? XD ja pierdole czekam na to. XDDDD",0,"And what, you're gonna say that Captain Beniz texted you that you're a cunt?"
pol_fa895914d0fe3b8e6569c12e9e0cb678,"A ilu Polaków siedzi w Polsce latami bez wyroku w tzw. areszcie? 
 
 Informacji na ten temat trzeba szukać w Turcji. ( ͡° ͜ʖ ͡°)",1,And how many Poles sit in Poland for years without a sentence in the so-called arrest? Information on this subject needs to be looked at in Turkey.
pol_e00d869a692714a239cd0226d67b98f6,masz i czytaj smieciu @URL,0,You have and read rubbish @URL
pol_98d3585a2686e5dd81e758c621b9053f,a po cholerę trafić swoje wojska jak mozna was zajebac rękami Ukraińców ?,1,And why the hell would you hit your troops how could you fuck with the hands of the Ukrainians?
pol_87913c4cc4438fd0f0d6f9eae72616c3,"> badass nigga 
 
 (⌐ ͡■ ͜ʖ ͡■)",0,> badass nigga (
pol_9c4164039c68ae6cca43d45969632b70,"no jak widać, tutaj większość tego nie chce",0,"As you can see, most people here don't want that."
pol_147ddff3837b47932929972ea5e291d0,"za kampanią wspierającą zwyroli z lgbt stoi wykop! 
 
 spójrzcie na ilość wykopów/zakopów i ilość usuniętych przez bolszewickiego moda komentarzy 
 
 @URL",1,look at the number of excavations / excavations and the number of comments removed by Bolshevik fashion @URL
pol_88ef8a09d7177c325dffcedb1b984d68,Jade jutro na protest tylko chce jakąs kobiete ogłuszyc i zabrac do domu co polecacie #protest,1,I'm going to the protest tomorrow just want to knock some woman out and take home what you recommend #protest
pol_e3683988581db599267120fa0bdc6b44,Proszę. Niestety nawet przed II WŚ Warszawa nie zachwycała.,0,"Please. Unfortunately, even before WWII Warsaw did not delight."
pol_303f7fefced292e6d43697741840f85e,"Szwedzi w Szwecji to obca kultura? Twoi rodzice wiedzą, że chowają głąba?",0,"Swedish in Sweden is a foreign culture, does your parents know they're hiding a douche bag?"
pol_8b2af565d05c8034d2859d1f24db2515,"co za szmata, za taką akcję to pozbawiłbym kurwę obywatelstwa",0,"What a slut, I'd take out a fucking citizenship for that kind of action."
pol_402a7539846d34349b1829c1cd0463d3,"Moja parafia jest całkiem nowa, bo z 1930 roku, jak sprawdzic do ktorej parafi nalezała moja miejscowosc wczesniej?",0,"My parish is quite new, because from 1930, how do you find out which parish belonged to my place earlier?"
pol_cae8e5dd5a48b2156d8fcd3569f84998,ja już w sklepie był i poprał a ta gruba komunistyczna kurwa leży i śmierdzi,0,"I've already been in the store, and he's done it, and that fat communist fuck is lying there and it stinks."
pol_d6814402b6557624c5de56e4ed88ca30,i od zawsze są okresy kiedy ceny spadają i rosną ( ͡° ͜ʖ ͡°),0,and there have always been periods when prices fall and rise (-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh!
pol_b250fb50e88a97d57bdaea77db5af8d6,Racja jebac [pseudonym]. Czas stad spierdalac :),0,It's time to get the fuck out of here.
pol_6315a746b58c223bab03979d0456b4c1,potwierdzam. To pierdolony krasnal ogrodowy xDDD. Podobnie jak ten gość z pieskiem na profilowym z zieloną trawką w tle.,0,"It's a fucking xDDD garden dwarf, just like that guy with the dog on the profile with the green weed in the background."
pol_3741246f3dfe64cec271e1e6c9c418d0,to jest debil a nie klecha,0,"He's an idiot, not a priest."
pol_6504e0a8ee8a92439c859a8b2ae9f282,prawdopodobnie wszyscy jestescie obciazeni genetycznie niewygrywem. rozumiesz proste komendy? nie taguj mnie typie bo nudzisz jak uj,0,"Don't tag me, you're bored like an ear."
pol_794f5d68de7482b40638c6aef3d5783b,"#!$%@USER z lidlem, unikam jak mogę",0,"#!$%@USER with lid, I avoid as much as I can"
pol_d23f41ccb0342a88f33f3e63b8cef71e,miłosierna twarz kościoła... pedofilskie czarne szmaty w śmiesznych ciuchach i czapkach.,1,The merciful face of the church... paedophile black rags in funny clothes and hats.
pol_2b29565d696000ac0150a8bb47674893,"Ostatnio słuchałem o tym jak to w latach 90/00 zarabiało się w hucie szkła na godzinę tyle, że można było kupić paczkę fajek.",0,"The last time I heard about how it was in the '90s, it was made in a glassworks for an hour, so you could buy a pack of cigarettes."
pol_1057dcc60dec371afa5852b506ea5f17,a może ważą ludzi przed podejściem do odprawy xD w podłodze waga i system automatycznie przydziela miejsce,0,Or maybe they weigh people before taking the xD check-in in the floor weight and the system automatically assigns place
pol_3b605aaef594e64fda67b940703fee08,co jest nieprawdziwego? Nazwisko film czy ustawy? ( ͡° ͜ʖ ͡°),0,What is false? The name of the film or the bill?
pol_f9e1cf42c49cf703abeee1241c3f62a2,"nie jestem architektem, ja tylko rucham twoją starą.",0,"I'm not an architect, I'm just fucking your old lady."
pol_793bc7051290efb863dd9499df556c5a,dokladnie a te szmaty wykopki co cie minusuja to tepe lemingi co se dupy liza,1,"Exactly, and those rags digging you up is tepe lemingos that sucks ass."
pol_5b3b94b7905c145c11914abaa1d109e8,Wtedy to dobrze. Dla PiS-u potrafiący liczyć Polak to duży problem.,1,That's a good thing for a pissant who can count a Pole is a big problem.
pol_05def572bc48d21811357c6b47f32edb,ale brudasów pozbyć się też trzeba,1,"But you gotta get rid of the dirty guys, too."
pol_c3b4b198a62b6537d5286c7015f8caa1,Nie czuje emocji w stosunku do śmieci. Tyle jesteś warty co to co leży na ulicy. Nie dopisuj do tego jakiejś filozofii.,1,"I don't feel emotional about trash, you're worth as much as what's on the street."
pol_d21d209b53c66e24b29a333313c04f55,">nie słyszałem, żeby nasze władze zleciły tworzenie dodatkowych miejsc składowania amunicji 
 
 nie słyszał, więc z pewnością dana rzecz nie istnieje",0,">I have not heard that our authorities have ordered the creation of additional ammunition storage sites, so there is certainly no such thing"
pol_49079e5d62632fb2ab1e7f0d1a373f71,"wyczuwam gorące 
 
 !rucham psa jak sra",0,I smell hot! I fuck the dog like shit!
pol_e27de0349b50dd08e11d6113ccf91edb,"Dalej głosujcie na dziadów co przy korycie siedzą dłużej niż ja żyję, na pewno mają plan lepszy niż tylko się nachapać, nie?",1,"Keep voting for grandpas who sit at the trough longer than I live, I'm sure they've got a better plan than just poking around, right?"
pol_a987930aff1908e0091a137f83a7f192,Ale się odpaliłeś ukraińska onuco. Ile hrywien za wpis? Długo już siedzisz w Polsce?,1,How many hryvnia for the entry? How long have you been in Poland?
pol_d558de082ed9d4ce9023bda87e319625,kfc ze wszyatkich fastfoodów najbardziej zjechalo w dół. Smutne,0,kfc from all fast food most went down. Sad
pol_3db46ed9d94c8fa1ef6056557f40c05d,to nie mnie minusują xD powinno dać Ci to do myślenia,0,It's not me they're minus xD should get you thinking
pol_a363c4c71a4fcae072c945764c7f8c46,wiecej.#!$%@USER system.pis po po pis i tak to leci,1,more.#!$%@USER system.pis for piss anyway
pol_5df55af9b1394e19fd8598f3445d41d9,nie księży a pedofili bo to co się w Polsce dzieje od dawna to jest legalna pedofilska organizacja kościelna,1,not priests and pedophiles because what has been happening in Poland for a long time is a legal pedophile church organization
pol_a10ee9c95a4c4190fe2fac3438bc354e,promocja znalezisk XDDDDD. Wam lewusy to już się srogo w tych łbach pie*doli.,1,promotion of XDDDDD's findings. You leftovers are already getting pretty fucked up in these heads.
pol_101967af78a479b1462b29b275e151e4,ty pi zd o lewacka sama byś pewnie nie chciała mieszkać wśród murzynów przyznaj się,1,You left-handed pi zd you probably wouldn't want to live among black people
pol_5c041afefe962cef8624179baf866db6,"widzę, że ""seks"" z modem nie idzie na marne ( ͡° ͜ʖ ͡°) Kto komu ciągnie? ( ͡° ͜ʖ ͡°)",0,"I see that ""sex"" with modem doesn't go to waste (---------------------------------------------------------------------- (-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
pol_9e68d09d5670d37905284fe66f46ae48,"mam nadzieję, że Kaja wam spali te flagi i niebieskie włosy.",1,I hope Kaja burns those flags and blue hair.
pol_27da47b703ca76b8cd535c4829f21f9a,coś więcej o nim? Coś w nim specjalnego?,0,Anything special about him?
pol_60f3680df5ddf423c91def1863ca8065,"Najprawdopodobniej jesteś debilem, jeśli porównujesz usunięcie łechtaczki do obcięcia napletka.",0,Most likely you're an idiot if you're comparing clitoris removal to foreskin cutting.
pol_15208082ee42601ed3d7e8cf36d7b056,Czy to się komuś podoba czy nie przy obecnej demografii potrzebujemy imigrantów,0,"Whether someone likes it or not with the current demography, we need immigrants."
pol_b5ac05cd91019226e0a2e4f5cab211fa,"Tak tak, a wraz z nimi idą inne partię oraz telewizję. Żyj w swoim mniemaniu, że to tylko, żeby wcisnąć ich na stołek.",1,"Yes, and along with them comes another party and television. Live in your opinion it's just to put them on the stool."
pol_149559314b5ac04e756050c6af45e0dd,nie no tyle to nie.,0,"No, that's all it is."
pol_9dfa7c3e2d09d8b4600ac36ab79be4c8,"i nie można było ""bić na chama"".",0,And you couldn't beat the crap out of him.
pol_db57d3703065e2afbcc7d5423eb8c879,ja z tego koncertu polecam też Ridiculous Thoughts. Niesamowita energia :),0,I also recommend Ridiculous Thoughts from this concert. Unbelievable energy:)
pol_e79396c7fd335cc8257b7f901a4ca3a2,"Brak mi doświaczenia. 
 
 w czytaniu na pewno, co do tego nie mam wątpliwości.",0,"I don't have any experience reading, I'm sure there's no doubt about that."
pol_7deb4abcbaf3f136e047342f5f223e2a,"każdy robi, tylko dobrze się kryje. A jak się trafi dziwak jakiś to sam nie porucha, ale kolegom z pedokościoła nie broni.",1,"Everyone's doing it, just hiding well, and if you get a weirdo, it's not gonna fuck itself, but it's not gonna fuck your paedo's friends."
pol_3c80c1e663e95dc065dbb76eef3708e8,"znowu tematy z doopy, zeby tylko nie zajmowac sie gospodarka, dominacja Chin, USA, inflacja, podatkami",0,"again topics with doopy, just not to deal with the economy, domination of China, USA, inflation, taxes"
pol_45ca77c8d79b6dc1967cbd37b51d604b,Za to śmiecenie kibiców to jebał ich pies,0,But trashing the fans was fucking their dog.
pol_f0266785f4f1be2d5f4d4eb36a4f996a,"Nic nie oznacza, bo nikt normalny nie trzyma swoich większych oszczędności w złotówkach. Gdyby tak robił, to zdziwiłbym się, że ma jakiekolwiek oszczędności.",1,"It doesn't mean anything, because no normal person keeps their savings in zlotys, and if he did, I'd be surprised he's got any savings."
pol_d40af3c37930b487e93dc45c7ae408fe,"Dziękuję czyli 1,21+40=1,61 
 Czyli 3700 zł na rok co oznacza 18550 zł na 5 lat. 
 
 Też niedużo ale można sobie z ciekawości sobie policzyć.",0,"Thank you, or 1,21+40=1.61 So 3700 PLN per year, which means 18550 PLN per 5 years."
pol_a43096103349575f9eb323ce84ecf1b2,poprawione ( ͡° ͜ʖ ͡°),0,corrected (• • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •
pol_35a9327640f6ecf2f45f690b9438133a,Powinna ci tą butlą wykurwić w ryj xD,0,She should have fucked you up with that bottle.
pol_a68f4369d6d2c7945ab30cce2e2fa968,Takie cos jest w ogole legalne?,0,Is something like this even legal?
pol_a9babf4b5f0c044a14f6339eef5bdc31,"no to wypierdalaj, poziom tylko wzrośnie bez przygłupiego prawaczka",1,"Get the fuck out of here, it's only gonna go up without a dumb lawyer."
pol_e222c31e8f3240b230a6a54441c65e7a,Twoj ksiadz chce zeby dzieci braly do paszczy jego pindola. Normalnosc wiejska? Wspolczuje ci chlopie strasznie...,1,Your priest wants the kids to be in his puppy's mouth.
pol_03a3c8b364e0977a12e2b1992b09a0bb,w piątym sezonie będzie czarny xD,0,In the fifth season will be black xD
pol_12db9ace8d14eb57cefba20d4144044c,p0lki to najczesciej grube kurewki z plaskodupiem i brakiem cycow.Jak dla mnie nic specjalnego( ͡° ͜ʖ ͡°),1,"P0lki are mostly fat whores with slices and no boobs.As far as I'm concerned, there's nothing special about it."
pol_497a14be6985ff769f88248b635146dc,"Tylko trzeba uważać na to, żebyś nie przejął ich obowiązków ;)",0,You just have to be careful not to take over their responsibilities;)
pol_ede3b367c6337f1115902063adb48216,jako druga opcja. Najwyżej by nie było chętnych ale lepiej kręcić gównoburzę ¯\_(ツ)_/¯,0,as a second option. There wouldn't be any willing but better to shoot shit.
pol_45bb45136d69de7980cc4c3abfcaa121,Problemy wykopków z których 90% widzialo murzyna jedynie na teledysku.,1,The problems of excavations of which 90% saw a black man only on a video.
pol_47b588e1c7401e8aa4b56c520d9a53bc,"Tak, ten ( ͡° ͜ʖ ͡°)",0,"Yeah, that one."
pol_80789e892d453534cd335cfdf95c4719,"gdzie ten chodnik? Lepiej godnie a krócej żyć, nawet jeżdżąc na wózku niż wegetować za 1200zł/miesięcznie. 
 Organizuję wyjazd autokarowy seniorek z mojej okolicy.",0,"Where's the sidewalk? It's better to live with dignity and less time, even if you're in a wheelchair than to veggie for 1,200zł/month. I'm organizing a bus trip for seniors from my neighborhood."
pol_39b98212fb8ae3bbbd45b49067c99271,moi dziadkowie na szczęście strzelali do p*laków,1,My grandparents were lucky to have shot at the posters.
pol_4773a893bd2e24755a6124f665f6b00a,"Szkoda, że to zawalili, bo uniwersum ma potencjał i dałoby się w tym zrobić ciekawy, trochę filozoficzny serial o ludzkiej naturze i świadomości.",0,"It's a pity they screwed up because the universe has potential and it could make an interesting, little philosophical show about human nature and consciousness."
pol_623bf19b27eca9d87268838dc979799c,Ale tu pisowców. No to korzystając z okazji HA TFU śmiecie.,1,"But here are the writers, so using the HA TFU as a scumbag."
pol_92a9af1d15156774fcdfe1e6d50cd662,"ej kucu, ale jesteś głupi xd",0,"Hey pony, you're so stupid xd"
pol_0d2bafbb714854c70cb246b5835db93d,"#!$%@USER taki bank. Na pewno nie założę w nim konta, ostrzegę też znajomych",0,"#!$%@USER such a bank. I'm sure I won't set up an account in it, I'll warn my friends as well."
pol_5e600f7ff4698ce0b78dbbb1c2aaaf84,"Jaki adres budowy? 
 
 Pewnie nieadekwatny do proponowanej ceny za metr.",0,Probably not suitable for the proposed price per meter.
pol_281419f521ab705b7e938127d9cba6a2,eh no i zrobiłam powtórzenie na zjebana (－‸ლ) co prawda prawaki nie wiedzą co to znaczy ale i tak wstyd ( ͡° ͜ʖ ͡°),1,"Eh no and I did a repeat of the fucked-up law enforcement doesn't know what it means, but still shame."
pol_6e5403c304ef7346f56af7bfa4dbf7c3,czas wyj%?!ć ten dziwny jerozolimski katolizm,1,the time of departure of this strange Jerusalem Catholicism
pol_400b98f05764faffc07d68582b533b24,"Wiedziałem, że Nazwisko bo nie ma kręgosłupa moralnego...",0,I knew the last name because it doesn't have a moral spine...
pol_796b06a22fd7b0b04771fb2e60b709d2,no to Chiny i USA beda mialy zniwa na trupie UE przez tych zielonych p*jebow,1,"Well, China and the United States are gonna be ravaged by these green fucking fucks on the EU's ass."
pol_1f4fb9535e4b2100cd1374c43105760c,"przyjmuj ich sobie do własnego kurwidołka ilu tylko chcesz, pajacu.",1,"Take them to your own fucking asshole as many as you want, you clown."
pol_7c4738f92203d89be0915e6307e8b5df,to niech się wypisze ze służby zdrowia - później będziemy na niego łożyć,0,We'll get him out of health care. We'll put him down later.
pol_a5e0717277a639680fd22ed77bc4efeb,zamknij pizde tępy wycieruchu,0,"Shut the fuck up, dumb-ass wiper."
pol_a9e73b1ecc9161e51d31f664176607fc,i jak sie sprawa skonczyla? boladzy przyjeli na klate? XD,0,And how did the case end?
pol_ab22f350df2cdb97e6e7442eb5787c80,"państwowa komisja ds. pedofilii podała, że największą grupą pedofilów byli duchowni.",0,The state's pedophilia committee reported that the largest group of pedophiles were clergymen.
pol_4563799a5bbf7a5e35169c9dd3016bc9,"Wtedy i tak będziemy mieć ten system, tyle że pisany cyrylicą.",0,"Then we'll have this system, but it's written in Cyrillic."
pol_4c4fc1bcbd5d581a8b252ed423f4829f,"a to dopiero początek, mądry polak po szkodzie",0,"And this is just the beginning, a wise Pole after harm"
pol_938d12ce69ede831dc3a09db341ff8b3,"Don cweladio nie rozumiem dlaczego wszyscy się boją tego zasuszonego dziada xD Sam wkopałbym go do basenu, żeby się nawilżył xD 
 #bettercallsaul",0,Don cweladio I don't understand why everyone's afraid of that dried-up old guy xD I'd kick him in the pool to moisturize xD #bettercallsaul
pol_5adbc8ed97299f4618c37f618136ac9d,o taki wykop nic nie robiłem ;D(⌐ ͡■ ͜ʖ ͡■),0,I didn't do anything about such an excavation.
pol_bebfa519b815e133a829e876eea4e8e2,"chyba, że poje hummusu i popije mlekiem sojowym to wtedy niekoniecznie",0,Unless hummus and soy milk are not necessarily
pol_0f169ae03ea866e241df291a5037f674,> A kto ma prawo zabierac głos?. - na pewno nie ty śmieciu,0,> And who has the right to speak? - certainly not you punk
pol_624d7cc7b67b9c1f73bbdb071ae97f00,I właśnie dlatego trzeba na nich nałożyć takie sankcje by zdechli z głodu.,1,And that's why they have to be sanctioned to starve to death.
pol_9055d49705d5fe43c486dffdd9cbaa92,"[pseudonym] zabieraj kukłę pod pachę i wykurwiaj 
 #mecz",0,[pseud] Take the puppet under your armpit and fuck off the game
pol_6475ad3c9bd89d3c97e62c97ee4817cf,Stawianie w jednym zdaniu Hiroshimy i Bachmutu. Co za manipulacja. Oni są poważni?,0,Putting Hiroshima and Bachmut in one sentence.
pol_18d7a6739287b974e8b5f85f692cb0b0,to nie jest morze tylko Ocean.,0,It's not the sea. It's the ocean.
pol_1e6e82e64599751228e1c93cc257ffef,"W infrastrukturze chmurowej dyski są całkowicie oddzielone od serwerów. 
 
 technicznie nie są xD",0,"In cloud infrastructure, the disks are completely separated from the servers. Technically, they are not xD"
pol_7be305f039e5b8f26fa5a49346e51059,"a Ty powinieneś wybrać sznurek, drzewko i zawisnąć",0,"And you should pick a string, a tree and hang"
pol_8cb4b07272a28f505dded87a63d5ca04,Ciekawe czy zwalczy? Czy to bedzie kolejny karmnik dla swoich?,0,Wonder if he's gonna fight it or if it's gonna be another dungeon for his own?
pol_94ea1a23583e5df2ff2a9b3d0be44099,Zlikwidować 500+ i nabudować za te pieniądze żłobków i przedszkoli!,0,Eliminate 500+ and build nursery and kindergarten money!
pol_723a39233a270ecce57c152bc1d8718e,"i to jest ta niezwykła ""popularnosc""? XD 
 
 Niezwykła popularność w pewnych kręgach. XD",0,"And this is the extraordinary ""popularity""? XD Unusual popularity in certain circles. XD"
pol_d02fc41111c6424a7e46ecabf4434b48,Jak można na dupę głosować.,1,How can you vote for your ass?
pol_7c43271da7fa3c6e7a70a32b03981218,"Zamknij dupę i do budy, widać że szkoła specjalna ukończona dla debili skoro nie dochodzi",0,"Shut your ass up and go to jail, you can see that special school is finished for morons if it doesn't happen."
pol_72337b0baf947288213fa7beb4ef835f,"A przepraszam, z której niby strony Nazwisko jest alternatywą dla kogokolwiek?",0,"Excuse me, which side is the name the alternative to anyone?"
pol_9f555569aec186cc1c23d9c3a7af78f5,...wczasowiczu w PLN'y bądź je@USER xD,0,...a holidaymaker in PLN'y or je@USER xD
pol_f0a4e62f4523124e89df5617dc22c67f,"Oczywiście chuja ze służb nikt nie tknie, zamiast tego lepiej zdewastować pomnik jakiejś postaci historycznej",0,"Of course, no one's gonna fucking touch anybody, instead, it's better to tear down a statue of some historical figure."
pol_3610afe8579caf1e3cde6d4a6597fec7,takiego to poddać eutanazji,0,It's like euthanasia.
pol_bd162f8bc37550aed55dff7c991ff639,SOJARZU PIERDOLONY GDZIE UCIEKASZ,0,SOYAR FUCKING WHERE YOU'RE GOING
pol_66b0e9ad0445defdda576b87b2c70ffb,ładny zjeb( ͡° ͜ʖ ͡°),0,Nice fucking guy.
pol_97f76111c216a56ac681bde8af527b08,"kiełbasa wyborcza, mówi to Panu coś?",0,"The election sausage, does that mean anything to you?"
pol_215a269c75e368c5580541fc13982747,w pizdzie mam na co czekasz pajacu. Czemu nie tagujesz sport kretynie?,0,"Why aren't you tagging sports, you idiot?"
pol_ea2d8b2c2a2d60e03244edf1a4d35275,ludzie skonczcie latac na ten skur.. turecki syf.,1,"People, stop flying to that son of a... Turkish shit."
pol_9172b131cb8b97fc4e37741d7950a19b,"Po prostu w lotnictwie nie wynaleziono jeszcze remontów korytarzy powietrznych, oto dlaczego.",0,"It's just that the air carrier hasn't invented air corridor repairs yet, that's why."
pol_e7b592637bd92341a225d6585531d266,głupi huj niech zdycha albo się zwali z tego mostu,0,"Stupid bastard, let him die or fall off that bridge."
